datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name,M01AB_stock,M01AB_stock_status,M01AE_stock,M01AE_stock_status,N02BA_stock,N02BA_stock_status,N02BE_stock,N02BE_stock_status,N05B_stock,N05B_stock_status,N05C_stock,N05C_stock_status,R03_stock,R03_stock_status,R06_stock,R06_stock_status,Day
2017-01-16,6,4,8,63,12,0,7,2,2017,1,Monday,227,High Stock,300,High Stock,140,Medium Stock,0,Low Stock,270,High Stock,135,Medium Stock,136,Medium Stock,173,Medium Stock,16
2017-01-17,7,4,5,48,13,1,3,2,2017,1,Tuesday,220,High Stock,296,High Stock,135,Medium Stock,262,High Stock,257,High Stock,134,Medium Stock,132,Medium Stock,171,Medium Stock,17
2017-01-18,6,4,6,45,16,1,5,0,2017,1,Wednesday,213,High Stock,291,High Stock,128,Medium Stock,216,High Stock,240,High Stock,132,Medium Stock,126,Medium Stock,170,Medium Stock,18
2017-01-19,5,5,7,37,15,0,2,3,2017,1,Thursday,208,High Stock,285,High Stock,120,Medium Stock,178,Medium Stock,224,High Stock,132,Medium Stock,124,Medium Stock,167,Medium Stock,19
2017-01-20,3,4,4,37,23,2,12,2,2017,1,Friday,204,High Stock,281,High Stock,116,Medium Stock,141,Medium Stock,201,High Stock,129,Medium Stock,111,Medium Stock,164,Medium Stock,20
2017-01-21,5,2,4,50,15,2,4,2,2017,1,Saturday,198,Medium Stock,278,High Stock,112,Medium Stock,91,Medium Stock,186,Medium Stock,127,Medium Stock,106,Medium Stock,161,Medium Stock,21
2017-01-22,4,5,5,37,19,1,9,1,2017,1,Sunday,194,Medium Stock,273,High Stock,106,Medium Stock,53,Low Stock,167,Medium Stock,126,Medium Stock,97,Medium Stock,160,Medium Stock,22
2017-01-23,5,4,6,41,15,0,2,1,2017,1,Monday,189,Medium Stock,269,High Stock,100,Medium Stock,12,Low Stock,151,Medium Stock,125,Medium Stock,95,Medium Stock,158,Medium Stock,23
2017-01-24,6,5,10,40,11,0,10,2,2017,1,Tuesday,183,Medium Stock,263,High Stock,89,Medium Stock,270,High Stock,140,Medium Stock,125,Medium Stock,85,Medium Stock,155,Medium Stock,24
2017-01-25,7,5,7,51,18,2,13,2,2017,1,Wednesday,175,Medium Stock,258,High Stock,322,High Stock,218,High Stock,121,Medium Stock,123,Medium Stock,71,Low Stock,153,Medium Stock,25
2017-01-26,5,5,7,36,13,0,8,0,2017,1,Thursday,169,Medium Stock,253,High Stock,315,High Stock,182,Medium Stock,107,Medium Stock,122,Medium Stock,63,Low Stock,153,Medium Stock,26
2017-01-27,7,7,5,42,21,2,9,1,2017,1,Friday,161,Medium Stock,245,High Stock,309,High Stock,139,Medium Stock,86,Medium Stock,120,Medium Stock,53,Low Stock,152,Medium Stock,27
2017-01-28,5,6,2,32,9,0,1,1,2017,1,Saturday,155,Medium Stock,239,High Stock,307,High Stock,107,Medium Stock,277,High Stock,120,Medium Stock,262,High Stock,150,Medium Stock,28
2017-01-29,5,7,5,54,15,2,9,3,2017,1,Sunday,150,Medium Stock,231,High Stock,302,High Stock,53,Low Stock,261,High Stock,118,Medium Stock,253,High Stock,147,Medium Stock,29
2017-01-30,8,5,7,35,17,4,7,4,2017,1,Monday,142,Medium Stock,226,High Stock,295,High Stock,17,Low Stock,244,High Stock,114,Medium Stock,246,High Stock,143,Medium Stock,30
2017-01-31,4,4,2,47,13,0,2,1,2017,1,Tuesday,137,Medium Stock,221,High Stock,292,High Stock,262,High Stock,230,High Stock,113,Medium Stock,243,High Stock,141,Medium Stock,31
2017-02-01,7,5,6,31,10,0,8,2,2017,2,Wednesday,130,Medium Stock,216,High Stock,286,High Stock,231,High Stock,220,High Stock,112,Medium Stock,235,High Stock,139,Medium Stock,1
2017-02-02,8,6,6,42,9,0,0,0,2017,2,Thursday,122,Medium Stock,210,High Stock,279,High Stock,188,Medium Stock,210,High Stock,112,Medium Stock,234,High Stock,138,Medium Stock,2
2017-02-03,7,6,9,42,15,2,7,0,2017,2,Friday,114,Medium Stock,204,High Stock,270,High Stock,145,Medium Stock,195,Medium Stock,109,Medium Stock,227,High Stock,137,Medium Stock,3
2017-02-04,7,4,4,27,12,0,7,3,2017,2,Saturday,106,Medium Stock,200,High Stock,266,High Stock,118,Medium Stock,182,Medium Stock,109,Medium Stock,220,High Stock,134,Medium Stock,4
2017-02-05,10,10,5,38,1,0,11,1,2017,2,Sunday,96,Medium Stock,189,Medium Stock,261,High Stock,79,Low Stock,181,Medium Stock,109,Medium Stock,209,High Stock,133,Medium Stock,5
2017-02-06,10,5,4,13,3,2,5,0,2017,2,Monday,86,Medium Stock,184,Medium Stock,257,High Stock,66,Low Stock,178,Medium Stock,107,Medium Stock,204,High Stock,133,Medium Stock,6
2017-02-07,3,0,3,13,3,0,7,2,2017,2,Tuesday,83,Medium Stock,183,Medium Stock,253,High Stock,52,Low Stock,175,Medium Stock,107,Medium Stock,197,Medium Stock,131,Medium Stock,7
2017-02-08,11,1,4,36,7,0,10,2,2017,2,Wednesday,72,Low Stock,182,Medium Stock,249,High Stock,16,Low Stock,168,Medium Stock,107,Medium Stock,187,Medium Stock,129,Medium Stock,8
2017-02-09,3,1,4,20,6,0,0,1,2017,2,Thursday,325,High Stock,180,Medium Stock,245,High Stock,341,High Stock,162,Medium Stock,107,Medium Stock,187,Medium Stock,128,Medium Stock,9
2017-02-10,4,3,4,23,5,0,2,0,2017,2,Friday,321,High Stock,177,Medium Stock,240,High Stock,318,High Stock,157,Medium Stock,107,Medium Stock,185,Medium Stock,128,Medium Stock,10
2017-02-11,5,6,5,12,11,1,1,3,2017,2,Saturday,316,High Stock,170,Medium Stock,235,High Stock,305,High Stock,146,Medium Stock,106,Medium Stock,184,Medium Stock,125,Medium Stock,11
2017-02-12,10,10,7,27,4,0,2,1,2017,2,Sunday,306,High Stock,160,Medium Stock,227,High Stock,278,High Stock,142,Medium Stock,106,Medium Stock,182,Medium Stock,124,Medium Stock,12
2017-02-13,0,0,0,0,0,0,0,0,2017,2,Monday,306,High Stock,160,Medium Stock,227,High Stock,278,High Stock,142,Medium Stock,106,Medium Stock,182,Medium Stock,124,Medium Stock,13
2017-02-14,4,5,2,22,0,0,1,1,2017,2,Tuesday,301,High Stock,155,Medium Stock,225,High Stock,256,High Stock,142,Medium Stock,106,Medium Stock,181,Medium Stock,123,Medium Stock,14
2017-02-15,6,2,2,19,1,0,1,1,2017,2,Wednesday,295,High Stock,152,Medium Stock,223,High Stock,237,High Stock,141,Medium Stock,106,Medium Stock,180,Medium Stock,122,Medium Stock,15
2017-02-16,3,4,1,31,2,0,0,3,2017,2,Thursday,292,High Stock,147,Medium Stock,222,High Stock,205,High Stock,139,Medium Stock,106,Medium Stock,180,Medium Stock,119,Medium Stock,16
2017-02-17,3,2,2,12,4,0,8,1,2017,2,Friday,289,High Stock,145,Medium Stock,220,High Stock,193,Medium Stock,135,Medium Stock,106,Medium Stock,172,Medium Stock,117,Medium Stock,17
2017-02-18,7,4,2,30,10,0,0,3,2017,2,Saturday,282,High Stock,141,Medium Stock,218,High Stock,163,Medium Stock,125,Medium Stock,106,Medium Stock,172,Medium Stock,114,Medium Stock,18
2017-02-19,3,3,2,13,1,0,8,1,2017,2,Sunday,278,High Stock,137,Medium Stock,216,High Stock,150,Medium Stock,124,Medium Stock,106,Medium Stock,164,Medium Stock,113,Medium Stock,19
2017-02-20,5,3,4,33,2,0,1,3,2017,2,Monday,273,High Stock,133,Medium Stock,211,High Stock,117,Medium Stock,122,Medium Stock,106,Medium Stock,163,Medium Stock,110,Medium Stock,20
2017-02-21,5,4,4,22,14,0,8,1,2017,2,Tuesday,268,High Stock,129,Medium Stock,207,High Stock,94,Medium Stock,108,Medium Stock,106,Medium Stock,155,Medium Stock,109,Medium Stock,21
2017-02-22,3,2,7,21,9,0,5,0,2017,2,Wednesday,265,High Stock,127,Medium Stock,200,High Stock,73,Low Stock,99,Medium Stock,106,Medium Stock,150,Medium Stock,109,Medium Stock,22
2017-02-23,6,5,4,24,5,1,8,2,2017,2,Thursday,258,High Stock,121,Medium Stock,196,Medium Stock,49,Low Stock,94,Medium Stock,105,Medium Stock,142,Medium Stock,107,Medium Stock,23
2017-02-24,1,4,4,29,10,1,7,1,2017,2,Friday,257,High Stock,116,Medium Stock,192,Medium Stock,346,High Stock,84,Medium Stock,104,Medium Stock,135,Medium Stock,106,Medium Stock,24
2017-02-25,6,6,5,24,6,0,2,0,2017,2,Saturday,251,High Stock,110,Medium Stock,187,Medium Stock,322,High Stock,311,High Stock,104,Medium Stock,133,Medium Stock,106,Medium Stock,25
2017-02-26,5,5,3,15,3,0,5,1,2017,2,Sunday,246,High Stock,105,Medium Stock,184,Medium Stock,306,High Stock,308,High Stock,104,Medium Stock,128,Medium Stock,105,Medium Stock,26
2017-02-27,5,3,7,16,14,0,7,2,2017,2,Monday,240,High Stock,101,Medium Stock,177,Medium Stock,290,High Stock,294,High Stock,104,Medium Stock,121,Medium Stock,103,Medium Stock,27
2017-02-28,5,5,7,26,9,2,18,0,2017,2,Tuesday,234,High Stock,96,Medium Stock,169,Medium Stock,263,High Stock,285,High Stock,102,Medium Stock,103,Medium Stock,103,Medium Stock,28
2017-03-01,4,4,5,15,17,0,5,2,2017,3,Wednesday,230,High Stock,396,High Stock,164,Medium Stock,248,High Stock,268,High Stock,102,Medium Stock,98,Medium Stock,101,Medium Stock,1
2017-03-02,5,7,3,13,1,1,1,2,2017,3,Thursday,225,High Stock,389,High Stock,161,Medium Stock,235,High Stock,267,High Stock,101,Medium Stock,97,Medium Stock,99,Medium Stock,2
2017-03-03,9,2,4,12,9,1,6,4,2017,3,Friday,216,High Stock,386,High Stock,157,Medium Stock,222,High Stock,258,High Stock,100,Medium Stock,91,Medium Stock,95,Medium Stock,3
2017-03-04,5,3,3,17,0,0,5,4,2017,3,Saturday,211,High Stock,383,High Stock,154,Medium Stock,205,High Stock,258,High Stock,100,Medium Stock,86,Medium Stock,91,Medium Stock,4
2017-03-05,12,4,5,33,3,0,6,5,2017,3,Sunday,199,Medium Stock,378,High Stock,149,Medium Stock,171,Medium Stock,255,High Stock,100,Medium Stock,80,Medium Stock,86,Medium Stock,5
2017-03-06,6,2,1,19,1,0,0,3,2017,3,Monday,192,Medium Stock,376,High Stock,148,Medium Stock,152,Medium Stock,254,High Stock,100,Medium Stock,80,Medium Stock,83,Medium Stock,6
2017-03-07,2,5,6,15,4,0,0,2,2017,3,Tuesday,190,Medium Stock,371,High Stock,141,Medium Stock,137,Medium Stock,250,High Stock,100,Medium Stock,80,Medium Stock,81,Medium Stock,7
2017-03-08,1,2,0,15,4,0,0,3,2017,3,Wednesday,189,Medium Stock,368,High Stock,141,Medium Stock,122,Medium Stock,246,High Stock,100,Medium Stock,80,Medium Stock,78,Low Stock,8
2017-03-09,11,2,6,26,6,1,0,2,2017,3,Thursday,178,Medium Stock,366,High Stock,135,Medium Stock,95,Medium Stock,240,High Stock,99,Medium Stock,80,Medium Stock,336,High Stock,9
2017-03-10,2,4,4,26,8,1,0,1,2017,3,Friday,176,Medium Stock,362,High Stock,131,Medium Stock,68,Low Stock,232,High Stock,98,Medium Stock,80,Medium Stock,335,High Stock,10
2017-03-11,6,4,6,20,2,1,5,3,2017,3,Saturday,169,Medium Stock,358,High Stock,125,Medium Stock,48,Low Stock,230,High Stock,97,Medium Stock,75,Low Stock,332,High Stock,11
2017-03-12,7,7,2,48,6,4,15,2,2017,3,Sunday,162,Medium Stock,351,High Stock,123,Medium Stock,309,High Stock,224,High Stock,93,Medium Stock,60,Low Stock,330,High Stock,12
2017-03-13,2,0,2,17,2,0,10,0,2017,3,Monday,159,Medium Stock,350,High Stock,120,Medium Stock,292,High Stock,222,High Stock,93,Medium Stock,50,Low Stock,330,High Stock,13
2017-03-14,2,1,3,15,5,0,5,1,2017,3,Tuesday,157,Medium Stock,348,High Stock,117,Medium Stock,277,High Stock,217,High Stock,93,Medium Stock,339,High Stock,329,High Stock,14
2017-03-15,3,1,2,14,4,0,0,0,2017,3,Wednesday,153,Medium Stock,347,High Stock,115,Medium Stock,262,High Stock,213,High Stock,93,Medium Stock,339,High Stock,329,High Stock,15
2017-03-16,6,4,4,28,4,0,1,3,2017,3,Thursday,147,Medium Stock,343,High Stock,110,Medium Stock,234,High Stock,209,High Stock,93,Medium Stock,338,High Stock,326,High Stock,16
2017-03-17,4,2,0,11,14,0,3,3,2017,3,Friday,143,Medium Stock,340,High Stock,110,Medium Stock,223,High Stock,195,Medium Stock,93,Medium Stock,335,High Stock,323,High Stock,17
2017-03-18,5,4,4,20,3,0,1,1,2017,3,Saturday,138,Medium Stock,336,High Stock,106,Medium Stock,202,High Stock,192,Medium Stock,93,Medium Stock,334,High Stock,322,High Stock,18
2017-03-19,10,3,2,39,3,0,5,3,2017,3,Sunday,128,Medium Stock,332,High Stock,104,Medium Stock,163,Medium Stock,189,Medium Stock,93,Medium Stock,329,High Stock,319,High Stock,19
2017-03-20,1,6,4,16,3,0,7,3,2017,3,Monday,126,Medium Stock,325,High Stock,99,Medium Stock,147,Medium Stock,186,Medium Stock,93,Medium Stock,322,High Stock,316,High Stock,20
2017-03-21,9,2,2,12,4,0,1,5,2017,3,Tuesday,117,Medium Stock,323,High Stock,97,Medium Stock,135,Medium Stock,182,Medium Stock,93,Medium Stock,321,High Stock,310,High Stock,21
2017-03-22,1,5,2,16,7,0,2,2,2017,3,Wednesday,115,Medium Stock,318,High Stock,95,Medium Stock,118,Medium Stock,175,Medium Stock,93,Medium Stock,319,High Stock,308,High Stock,22
2017-03-23,7,2,1,13,8,0,6,3,2017,3,Thursday,108,Medium Stock,316,High Stock,94,Medium Stock,105,Medium Stock,167,Medium Stock,93,Medium Stock,313,High Stock,305,High Stock,23
2017-03-24,1,3,4,12,7,0,5,6,2017,3,Friday,106,Medium Stock,313,High Stock,89,Medium Stock,93,Medium Stock,160,Medium Stock,93,Medium Stock,308,High Stock,298,High Stock,24
2017-03-25,10,5,1,33,3,0,0,4,2017,3,Saturday,96,Medium Stock,307,High Stock,315,High Stock,59,Low Stock,157,Medium Stock,93,Medium Stock,308,High Stock,294,High Stock,25
2017-03-26,5,5,3,18,4,0,10,8,2017,3,Sunday,91,Medium Stock,302,High Stock,312,High Stock,41,Low Stock,153,Medium Stock,93,Medium Stock,298,High Stock,286,High Stock,26
2017-03-27,4,3,3,14,5,0,1,4,2017,3,Monday,86,Medium Stock,299,High Stock,308,High Stock,307,High Stock,148,Medium Stock,93,Medium Stock,297,High Stock,282,High Stock,27
2017-03-28,2,2,7,22,14,0,0,6,2017,3,Tuesday,83,Medium Stock,296,High Stock,301,High Stock,285,High Stock,134,Medium Stock,93,Medium Stock,297,High Stock,276,High Stock,28
2017-03-29,6,1,4,12,3,0,7,4,2017,3,Wednesday,77,Low Stock,295,High Stock,297,High Stock,273,High Stock,131,Medium Stock,93,Medium Stock,290,High Stock,272,High Stock,29
2017-03-30,1,2,5,9,9,0,0,2,2017,3,Thursday,297,High Stock,292,High Stock,292,High Stock,263,High Stock,122,Medium Stock,93,Medium Stock,290,High Stock,270,High Stock,30
2017-03-31,4,2,3,22,2,0,2,6,2017,3,Friday,293,High Stock,290,High Stock,289,High Stock,241,High Stock,120,Medium Stock,93,Medium Stock,288,High Stock,264,High Stock,31
2017-04-01,2,2,2,34,2,0,1,3,2017,4,Saturday,290,High Stock,288,High Stock,287,High Stock,207,High Stock,118,Medium Stock,93,Medium Stock,287,High Stock,261,High Stock,1
2017-04-02,6,4,4,23,4,0,9,12,2017,4,Sunday,284,High Stock,284,High Stock,283,High Stock,184,Medium Stock,114,Medium Stock,93,Medium Stock,278,High Stock,249,High Stock,2
2017-04-03,6,1,5,25,8,0,20,3,2017,4,Monday,277,High Stock,283,High Stock,277,High Stock,158,Medium Stock,106,Medium Stock,93,Medium Stock,258,High Stock,246,High Stock,3
2017-04-04,0,1,2,8,2,0,5,5,2017,4,Tuesday,277,High Stock,282,High Stock,275,High Stock,150,Medium Stock,104,Medium Stock,93,Medium Stock,253,High Stock,240,High Stock,4
2017-04-05,5,0,0,13,9,2,6,1,2017,4,Wednesday,272,High Stock,281,High Stock,275,High Stock,137,Medium Stock,95,Medium Stock,91,Medium Stock,247,High Stock,239,High Stock,5
2017-04-06,5,0,3,10,4,1,0,1,2017,4,Thursday,267,High Stock,281,High Stock,272,High Stock,126,Medium Stock,91,Medium Stock,90,Medium Stock,247,High Stock,238,High Stock,6
2017-04-07,3,4,2,16,5,0,5,5,2017,4,Friday,263,High Stock,277,High Stock,270,High Stock,110,Medium Stock,381,High Stock,90,Medium Stock,242,High Stock,233,High Stock,7
2017-04-08,7,8,2,23,3,0,11,6,2017,4,Saturday,256,High Stock,268,High Stock,268,High Stock,87,Medium Stock,378,High Stock,90,Medium Stock,231,High Stock,227,High Stock,8
2017-04-09,4,5,8,22,3,0,0,1,2017,4,Sunday,251,High Stock,263,High Stock,259,High Stock,65,Low Stock,375,High Stock,90,Medium Stock,231,High Stock,226,High Stock,9
2017-04-10,8,1,1,27,1,0,4,4,2017,4,Monday,242,High Stock,261,High Stock,258,High Stock,37,Low Stock,374,High Stock,90,Medium Stock,227,High Stock,222,High Stock,10
2017-04-11,4,2,3,17,5,0,11,1,2017,4,Tuesday,238,High Stock,259,High Stock,255,High Stock,273,High Stock,369,High Stock,90,Medium Stock,216,High Stock,221,High Stock,11
2017-04-12,11,3,3,11,10,2,10,4,2017,4,Wednesday,226,High Stock,256,High Stock,252,High Stock,262,High Stock,359,High Stock,88,Medium Stock,206,High Stock,217,High Stock,12
2017-04-13,5,2,2,30,1,0,2,5,2017,4,Thursday,221,High Stock,253,High Stock,250,High Stock,231,High Stock,358,High Stock,88,Medium Stock,204,High Stock,212,High Stock,13
2017-04-14,7,4,5,13,3,0,16,4,2017,4,Friday,214,High Stock,248,High Stock,245,High Stock,218,High Stock,355,High Stock,88,Medium Stock,188,Medium Stock,208,High Stock,14
2017-04-15,11,1,4,27,1,0,15,5,2017,4,Saturday,202,High Stock,247,High Stock,241,High Stock,191,Medium Stock,354,High Stock,88,Medium Stock,173,Medium Stock,203,High Stock,15
2017-04-16,0,0,0,0,0,0,0,0,2017,4,Sunday,202,High Stock,247,High Stock,241,High Stock,191,Medium Stock,354,High Stock,88,Medium Stock,173,Medium Stock,203,High Stock,16
2017-04-17,4,3,1,18,1,0,5,1,2017,4,Monday,198,Medium Stock,243,High Stock,239,High Stock,173,Medium Stock,353,High Stock,88,Medium Stock,168,Medium Stock,202,High Stock,17
2017-04-18,7,4,6,15,8,1,2,2,2017,4,Tuesday,191,Medium Stock,238,High Stock,233,High Stock,157,Medium Stock,345,High Stock,87,Medium Stock,166,Medium Stock,200,High Stock,18
2017-04-19,1,3,5,14,2,0,0,1,2017,4,Wednesday,190,Medium Stock,235,High Stock,228,High Stock,143,Medium Stock,343,High Stock,87,Medium Stock,166,Medium Stock,199,Medium Stock,19
2017-04-20,4,2,5,9,10,0,7,2,2017,4,Thursday,185,Medium Stock,232,High Stock,223,High Stock,134,Medium Stock,333,High Stock,87,Medium Stock,159,Medium Stock,197,Medium Stock,20
2017-04-21,3,2,2,29,3,0,1,3,2017,4,Friday,182,Medium Stock,230,High Stock,220,High Stock,105,Medium Stock,330,High Stock,87,Medium Stock,157,Medium Stock,194,Medium Stock,21
2017-04-22,2,4,2,19,7,1,1,2,2017,4,Saturday,179,Medium Stock,225,High Stock,217,High Stock,86,Medium Stock,323,High Stock,86,Medium Stock,156,Medium Stock,192,Medium Stock,22
2017-04-23,9,5,3,25,7,0,1,5,2017,4,Sunday,170,Medium Stock,220,High Stock,214,High Stock,60,Low Stock,316,High Stock,86,Medium Stock,155,Medium Stock,187,Medium Stock,23
2017-04-24,9,3,8,13,9,0,1,5,2017,4,Monday,161,Medium Stock,216,High Stock,206,High Stock,47,Low Stock,307,High Stock,86,Medium Stock,154,Medium Stock,182,Medium Stock,24
2017-04-25,8,2,2,24,4,0,26,5,2017,4,Tuesday,153,Medium Stock,213,High Stock,204,High Stock,290,High Stock,303,High Stock,86,Medium Stock,128,Medium Stock,177,Medium Stock,25
2017-04-26,3,4,3,10,3,0,1,8,2017,4,Wednesday,150,Medium Stock,209,High Stock,200,High Stock,280,High Stock,300,High Stock,86,Medium Stock,127,Medium Stock,169,Medium Stock,26
2017-04-27,3,3,2,11,10,1,0,10,2017,4,Thursday,146,Medium Stock,205,High Stock,198,Medium Stock,269,High Stock,290,High Stock,85,Medium Stock,127,Medium Stock,159,Medium Stock,27
2017-04-28,3,3,5,15,2,0,7,7,2017,4,Friday,143,Medium Stock,202,High Stock,193,Medium Stock,254,High Stock,288,High Stock,85,Medium Stock,120,Medium Stock,152,Medium Stock,28
2017-04-29,5,9,2,15,3,1,1,8,2017,4,Saturday,138,Medium Stock,193,Medium Stock,190,Medium Stock,239,High Stock,285,High Stock,84,Medium Stock,119,Medium Stock,144,Medium Stock,29
2017-04-30,1,4,2,18,2,0,12,2,2017,4,Sunday,137,Medium Stock,189,Medium Stock,188,Medium Stock,221,High Stock,283,High Stock,84,Medium Stock,107,Medium Stock,142,Medium Stock,30
2017-05-01,0,1,1,1,0,0,0,1,2017,5,Monday,137,Medium Stock,188,Medium Stock,187,Medium Stock,219,High Stock,283,High Stock,84,Medium Stock,107,Medium Stock,141,Medium Stock,1
2017-05-02,2,6,1,23,5,0,6,5,2017,5,Tuesday,135,Medium Stock,182,Medium Stock,186,Medium Stock,196,Medium Stock,278,High Stock,84,Medium Stock,101,Medium Stock,136,Medium Stock,2
2017-05-03,1,3,6,18,6,0,20,2,2017,5,Wednesday,133,Medium Stock,178,Medium Stock,180,Medium Stock,178,Medium Stock,272,High Stock,84,Medium Stock,81,Medium Stock,134,Medium Stock,3
2017-05-04,5,5,1,11,4,0,2,4,2017,5,Thursday,128,Medium Stock,173,Medium Stock,179,Medium Stock,167,Medium Stock,268,High Stock,84,Medium Stock,79,Low Stock,129,Medium Stock,4
2017-05-05,2,5,1,6,8,0,12,3,2017,5,Friday,125,Medium Stock,167,Medium Stock,178,Medium Stock,160,Medium Stock,260,High Stock,84,Medium Stock,67,Low Stock,126,Medium Stock,5
2017-05-06,7,2,4,14,4,0,0,6,2017,5,Saturday,118,Medium Stock,165,Medium Stock,174,Medium Stock,146,Medium Stock,256,High Stock,84,Medium Stock,67,Low Stock,120,Medium Stock,6
2017-05-07,6,3,4,18,3,0,4,4,2017,5,Sunday,112,Medium Stock,161,Medium Stock,169,Medium Stock,128,Medium Stock,253,High Stock,84,Medium Stock,63,Low Stock,116,Medium Stock,7
2017-05-08,2,3,1,8,8,3,1,5,2017,5,Monday,109,Medium Stock,158,Medium Stock,168,Medium Stock,120,Medium Stock,245,High Stock,81,Medium Stock,62,Low Stock,111,Medium Stock,8
2017-05-09,7,4,4,11,4,0,2,3,2017,5,Tuesday,102,Medium Stock,154,Medium Stock,164,Medium Stock,109,Medium Stock,241,High Stock,427,High Stock,60,Low Stock,108,Medium Stock,9
2017-05-10,8,0,9,15,4,0,14,7,2017,5,Wednesday,93,Medium Stock,153,Medium Stock,155,Medium Stock,94,Medium Stock,237,High Stock,427,High Stock,46,Low Stock,101,Medium Stock,10
2017-05-11,6,6,3,16,6,2,1,10,2017,5,Thursday,87,Medium Stock,147,Medium Stock,152,Medium Stock,78,Low Stock,231,High Stock,425,High Stock,290,High Stock,91,Medium Stock,11
2017-05-12,4,4,6,16,4,9,0,6,2017,5,Friday,82,Medium Stock,142,Medium Stock,146,Medium Stock,61,Low Stock,227,High Stock,416,High Stock,290,High Stock,85,Medium Stock,12
2017-05-13,5,2,6,12,4,0,1,7,2017,5,Saturday,77,Low Stock,140,Medium Stock,140,Medium Stock,49,Low Stock,223,High Stock,416,High Stock,289,High Stock,78,Low Stock,13
2017-05-14,4,2,2,31,6,0,5,2,2017,5,Sunday,361,High Stock,137,Medium Stock,137,Medium Stock,250,High Stock,217,High Stock,416,High Stock,284,High Stock,359,High Stock,14
2017-05-15,5,4,2,17,0,3,3,7,2017,5,Monday,355,High Stock,133,Medium Stock,135,Medium Stock,233,High Stock,217,High Stock,413,High Stock,281,High Stock,352,High Stock,15
2017-05-16,2,5,1,16,2,0,6,7,2017,5,Tuesday,353,High Stock,127,Medium Stock,134,Medium Stock,217,High Stock,215,High Stock,413,High Stock,275,High Stock,345,High Stock,16
2017-05-17,6,4,0,9,5,0,0,2,2017,5,Wednesday,347,High Stock,122,Medium Stock,134,Medium Stock,208,High Stock,210,High Stock,413,High Stock,275,High Stock,343,High Stock,17
2017-05-18,3,5,4,28,4,0,0,3,2017,5,Thursday,343,High Stock,117,Medium Stock,130,Medium Stock,179,Medium Stock,206,High Stock,413,High Stock,275,High Stock,340,High Stock,18
2017-05-19,4,3,2,31,11,0,0,10,2017,5,Friday,339,High Stock,114,Medium Stock,127,Medium Stock,148,Medium Stock,195,Medium Stock,413,High Stock,275,High Stock,330,High Stock,19
2017-05-20,3,4,0,16,5,0,6,6,2017,5,Saturday,335,High Stock,109,Medium Stock,127,Medium Stock,131,Medium Stock,190,Medium Stock,413,High Stock,269,High Stock,324,High Stock,20
2017-05-21,6,3,1,32,5,0,12,4,2017,5,Sunday,329,High Stock,106,Medium Stock,126,Medium Stock,99,Medium Stock,185,Medium Stock,413,High Stock,257,High Stock,320,High Stock,21
2017-05-22,5,1,4,22,5,0,7,11,2017,5,Monday,324,High Stock,105,Medium Stock,122,Medium Stock,77,Low Stock,180,Medium Stock,413,High Stock,250,High Stock,309,High Stock,22
2017-05-23,3,2,5,11,9,0,2,7,2017,5,Tuesday,321,High Stock,102,Medium Stock,117,Medium Stock,66,Low Stock,171,Medium Stock,413,High Stock,248,High Stock,302,High Stock,23
2017-05-24,6,3,3,14,9,0,4,4,2017,5,Wednesday,314,High Stock,99,Medium Stock,114,Medium Stock,52,Low Stock,162,Medium Stock,413,High Stock,244,High Stock,297,High Stock,24
2017-05-25,5,5,2,18,3,0,2,4,2017,5,Thursday,308,High Stock,94,Medium Stock,112,Medium Stock,33,Low Stock,159,Medium Stock,413,High Stock,242,High Stock,293,High Stock,25
2017-05-26,2,3,5,29,4,0,8,2,2017,5,Friday,306,High Stock,293,High Stock,107,Medium Stock,345,High Stock,155,Medium Stock,413,High Stock,234,High Stock,291,High Stock,26
2017-05-27,7,3,2,23,5,0,0,10,2017,5,Saturday,299,High Stock,290,High Stock,105,Medium Stock,322,High Stock,150,Medium Stock,413,High Stock,234,High Stock,281,High Stock,27
2017-05-28,1,6,2,11,2,0,0,3,2017,5,Sunday,297,High Stock,283,High Stock,102,Medium Stock,311,High Stock,148,Medium Stock,413,High Stock,234,High Stock,278,High Stock,28
2017-05-29,3,4,1,28,4,2,4,5,2017,5,Monday,293,High Stock,279,High Stock,101,Medium Stock,283,High Stock,144,Medium Stock,411,High Stock,230,High Stock,273,High Stock,29
2017-05-30,8,3,4,25,3,0,5,5,2017,5,Tuesday,285,High Stock,276,High Stock,96,Medium Stock,258,High Stock,141,Medium Stock,411,High Stock,225,High Stock,268,High Stock,30
2017-05-31,4,2,7,12,6,4,1,5,2017,5,Wednesday,281,High Stock,274,High Stock,89,Medium Stock,246,High Stock,135,Medium Stock,407,High Stock,224,High Stock,263,High Stock,31
2017-06-01,1,3,2,21,10,0,2,2,2017,6,Thursday,280,High Stock,270,High Stock,421,High Stock,224,High Stock,125,Medium Stock,407,High Stock,222,High Stock,261,High Stock,1
2017-06-02,2,4,4,17,9,1,5,3,2017,6,Friday,278,High Stock,266,High Stock,417,High Stock,207,High Stock,116,Medium Stock,406,High Stock,217,High Stock,258,High Stock,2
